year,cpi_2015base,bob_per_usd,inv_agro_usd_mm,inv_agro_bob_mm_current,inv_agro_bob_mm_2015,inv_agro_pct_gdp,inv_agro_pct_total,inv_pub_total_usd_mm,emapa_bob_mm,emapa_bob_mm_2015,tfp_index,tfp_output,tfp_input,agr_value_added_pct_gdp,cereal_yield_kg_ha,undernourishment_pct,agr_employment_pct,gdp_current_usd,gdp_per_capita_usd,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi,inv_productivos_usd_mm,inv_hidrocarb_usd_mm,inv_infraestr_usd_mm,inv_sociales_usd_mm,inv_multisec_usd_mm,agr_food_prod_index,rural_pop_pct,gdp_per_capita_const2015,agr_gdp_usd,aper_agro_spend_bob_current_aper,aper_agro_spend_bob_2015,aper_agro_spend_usd,aper_agro_spend_usd_2015,aper_spend_administracion_general,aper_spend_fomento_produccion,aper_spend_investigacion_extension,aper_spend_riego_agua,aper_spend_sanidad_inocuidad,aper_agro_spend_pct_gdp,tfp_per_mbob
2010,74.82165525379531,7.01666666666666,84,589.3999999999995,787.7398568646372,0.42748692647271647,5.522682445759369,1521,392,523.9124938767187,87.4813,77.3566,88.4264,10.389905701059378,2267.3,19.9,29.8040198576427,19649723722.103382,1929.783730771584,74.82165525379531,99.9999999999999,75.4797499348189,2.5032760584424,303,109,654,472,93,78.67,33.5924334340867,2481.407008509452,2041587765.2452364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11105354037587122
2011,82.21737497988586,6.93696249999999,135,936.4899374999986,1139.041398158366,0.5633646544990765,6.18698441796517,2182,747,908.5670762205075,84.2662,79.1952,93.9821,9.769585881695397,2045.3,18.8,31.5087515949538,23963164696.591965,2315.5212193060715,82.21737497988586,109.884464198238,86.5015703998176,9.88446419823883,658,308,853,566,104,80.5,33.166284366824,2568.5205166367996,2341101955.0056643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0739799274514903
2012,85.9299851602867,6.91,180,1243.8,1447.4574826004196,0.6645868180505174,6.213324128408699,2897,769,894.9146198100359,95.0523,87.8731,92.4471,9.812161914832805,2113.2,18.1,29.2461174583291,27084497481.910275,2575.598570980836,85.9299851602867,114.8464102656,92.6434202110263,4.51560291399375,933,488,1035,743,187,89.26,32.74185551723011,2657.238849158535,2657574746.74385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06566845737619488
2013,90.85927303284464,6.91,223,1540.93,1695.952376201569,0.7273477123285511,5.897910605659878,3781,1185,1304.2147052746452,91.4108,91.6948,100.3107,9.966979476846303,1717.9,18,31.1048260743279,30659338885.672935,2870.0237700075613,90.85927303284464,121.434460016488,98.1977530505842,5.73640023719606,1190,578,1329,1084,178,93.43,32.3302944480111,2793.5145709867556,3055810014.47178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05389939085714961
2014,96.09876454917688,6.91,275,1900.25,1977.3927468417974,0.8334296066420324,6.101619702684713,4507,1564,1627.492306833612,94.8488,94.2843,99.4048,9.740217537701692,1958.1,17.2,29.1229457953441,32996188017.366135,3041.435031624083,96.09876454917688,128.437100493446,100.210313765951,5.76660074579143,1363,646,1440,1448,257,96.04,31.96257458700001,2900.9024158633783,3213900492.0405207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04796659649505048
2015,100,6.91,320,2211.2,2211.2,0.9696911442358527,6.541291905151267,4892,777,777,100,100,100,10.239494114445522,2280.2,16.1,27.9913929784824,33000198248.914616,2996.0128981134417,100,133.651146397122,95.5799937448752,4.05961041135644,1709,678,1696,1341,146,101.79,31.6041948702335,2996.0128981134417,3379053357.452966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04522431259044863
2016,103.62321431764184,6.91,236,1630.76,1573.740026053567,0.6953216538886169,4.659427443237908,5065,443,427.5103826079436,99.488,100.2929,100.8091,11.17187541505321,2111.3,14.9,27.5245435383413,33941126193.921852,3035.8734773213155,103.62321431764184,138.493613869075,94.2850085286961,3.62321431764138,1866,530,1822,1192,185,102.17,31.255367212305305,3077.570575647662,3791860332.85094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06321755712694418
2017,106.54824694713166,6.91,227,1568.57,1472.1687544782517,0.49425790334227565,4.756915339480302,4772,759,712.3533439049536,94.5064,99.8077,105.6094,7.677137224747516,1845.6,14.2,28.2661150516845,45927439594.79016,4048.4011973983856,106.54824694713164,142.402953510878,100,2.8227580554717,1720,341,1628,1194,230,101.63,30.916198372526395,3160.164212289682,3525912561.505065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0641953578436691
2018,108.96908691065828,6.91,274,1893.3400000000001,1737.5019408507244,0.5659515432966573,6.146253925527143,4458,435,399.1957832560792,94.9291,107.6175,113.3662,7.45035399971013,2333.7,13.7,28.7570263173778,48414038842.2576,4206.855293666104,108.96908691065828,145.638433874571,102.475118360273,2.27205987230154,1420,162,1518,1278,241,109.51,30.586612018600107,3204.536708191235,3607017279.305355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0546353922076889
2019,110.97362235461587,6.91,247,1706.77,1537.9961145595678,0.5034995913486785,6.553462456885116,3769,521,469.4809351497476,97.6085,108.0741,110.722,7.632882645016053,2030.1,13.6,25.1991880579003,49056643589.00145,4203.15492855788,110.97362235461588,148.317518475357,102.293996478295,1.83954504969025,1107,134,1307,1171,185,109.9,30.2665013291613,3207.3869521223005,3744436034.732272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06346472469987476
2020,112.01759799924082,6.91,134,925.94,826.6022629821748,0.31668167456579854,7.511210762331838,1784,547,488.31613047416636,91.4817,108.2976,118.3817,9.124055868346664,2024,16,27.8784641014283,42313784081.04197,3580.967617783027,112.01759799924083,149.712803892505,101.092002918913,0.940742153381849,474,87,517,711,82,109.48,29.9557364471746,2765.0927177231047,3860733299.5658464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11067196897085285
2021,112.84359753204902,6.91,182,1257.6200000000001,1114.480597486109,0.3801336919149726,6.878306878306878,2646,793,702.7425723242985,93.5559,115.1836,123.1173,8.810019122557634,2523,19.1,27.6474189108283,47877892402.31548,4010.7605368620434,112.84359753204902,150.816761737338,103.959121577863,0.737383721452274,863,106,881,791,111,116.96,29.654958717383497,3011.5511080755714,4218051476.121563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08394574137138901
2022,114.81421769510712,6.91,188,1299.08,1131.4626586140657,0.36892344365788876,7.137433561123766,2634,923,803.9074067038079,97.8081,114.5832,117.151,8.660284813061772,1716.7,21.6,24.8081351819188,50959081953.6903,4219.461137424454,114.81421769510712,153.450518176398,106.65270527767,1.74632872945968,938,150,843,760,92,115.45,29.3647401291869,3088.2412615524054,4413201635.311143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08644394868479852
2023,117.7728514988028,6.91,244,1686.04,1431.603275749114,0.4661808086651611,9.179834462001505,2658,1604,1361.9437583340718,100.4615,120.9232,120.3677,9.310980097565514,1980,21.8,25.0789048195618,52340206946.454414,4274.70820547613,117.77285149880278,157.40476617273,106.85442544597,2.57688800489192,1131,296,673,735,119,NA,29.08485859554619,3122.770494478231,4873386251.808972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0701741199547281
2024,NA,NA,261,NA,NA,NA,10.74074074074074,2430,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,936,160,609,773,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
